Stock,Date,Close
AAPL,07-17-2023,$193.99
AAPL,07-14-2023,$190.69
AAPL,07-13-2023,$190.54
AAPL,07-12-2023,$189.77
AAPL,07-11-2023,$188.08
AAPL,07-10-2023,$188.61
AAPL,07-07-2023,$190.68
AAPL,07-06-2023,$191.81
AAPL,07-05-2023,$191.33
AAPL,07-03-2023,$192.46
AAPL,06-30-2023,$193.97
AAPL,06-29-2023,$189.59
AAPL,06-28-2023,$189.25
AAPL,06-27-2023,$188.06
AAPL,06-26-2023,$185.27
AAPL,06-23-2023,$186.68
AAPL,06-22-2023,$187.00
AAPL,06-21-2023,$183.96
AAPL,06-20-2023,$185.01
AAPL,06-16-2023,$184.92
AAPL,06-15-2023,$186.01
AAPL,06-14-2023,$183.95
AAPL,06-13-2023,$183.31
AAPL,06-12-2023,$183.79
AAPL,06-09-2023,$180.96
AAPL,06-08-2023,$180.57
AAPL,06-07-2023,$177.82
AAPL,06-06-2023,$179.21
AAPL,06-05-2023,$179.58
AAPL,06-02-2023,$180.95
AAPL,06-01-2023,$180.09
AAPL,05-31-2023,$177.25
AAPL,05-30-2023,$177.30
AAPL,05-26-2023,$175.43
AAPL,05-25-2023,$172.99
AAPL,05-24-2023,$171.84
AAPL,05-23-2023,$171.56
AAPL,05-22-2023,$174.20
AAPL,05-19-2023,$175.16
AAPL,05-18-2023,$175.05
AAPL,05-17-2023,$172.69
AAPL,05-16-2023,$172.07
AAPL,05-15-2023,$172.07
AAPL,05-12-2023,$172.57
AAPL,05-11-2023,$173.75
AAPL,05-10-2023,$173.555
AAPL,05-09-2023,$171.77
AAPL,05-08-2023,$173.50
AAPL,05-05-2023,$173.57
AAPL,05-04-2023,$165.79
AAPL,05-03-2023,$167.45
AAPL,05-02-2023,$168.54
AAPL,05-01-2023,$169.59
AAPL,04-28-2023,$169.68
AAPL,04-27-2023,$168.41
AAPL,04-26-2023,$163.76
AAPL,04-25-2023,$163.77
AAPL,04-24-2023,$165.33
AAPL,04-21-2023,$165.02
AAPL,04-20-2023,$166.65
AAPL,04-19-2023,$167.63
AAPL,04-18-2023,$166.47
AAPL,04-17-2023,$165.23
AAPL,04-14-2023,$165.21
AAPL,04-13-2023,$165.56
AAPL,04-12-2023,$160.10
AAPL,04-11-2023,$160.80
AAPL,04-10-2023,$162.03
AAPL,04-06-2023,$164.66
AAPL,04-05-2023,$163.76
AAPL,04-04-2023,$165.63
AAPL,04-03-2023,$166.17
AAPL,03-31-2023,$164.90
AAPL,03-30-2023,$162.36
AAPL,03-29-2023,$160.77
AAPL,03-28-2023,$157.65
AAPL,03-27-2023,$158.28
AAPL,03-24-2023,$160.25
AAPL,03-23-2023,$158.93
AAPL,03-22-2023,$157.83
AAPL,03-21-2023,$159.28
AAPL,03-20-2023,$157.40
AAPL,03-17-2023,$155.00
AAPL,03-16-2023,$155.85
AAPL,03-15-2023,$152.99
AAPL,03-14-2023,$152.59
AAPL,03-13-2023,$150.47
AAPL,03-10-2023,$148.50
AAPL,03-09-2023,$150.59
AAPL,03-08-2023,$152.87
AAPL,03-07-2023,$151.60
AAPL,03-06-2023,$153.83
AAPL,03-03-2023,$151.03
AAPL,03-02-2023,$145.91
AAPL,03-01-2023,$145.31
AAPL,02-28-2023,$147.41
AAPL,02-27-2023,$147.92
AAPL,02-24-2023,$146.71
AAPL,02-23-2023,$149.40
AAPL,02-22-2023,$148.91
AAPL,02-21-2023,$148.48
AAPL,02-17-2023,$152.55
AAPL,02-16-2023,$153.71
AAPL,02-15-2023,$155.33
AAPL,02-14-2023,$153.20
AAPL,02-13-2023,$153.85
AAPL,02-10-2023,$151.01
AAPL,02-09-2023,$150.87
AAPL,02-08-2023,$151.92
AAPL,02-07-2023,$154.65
AAPL,02-06-2023,$151.73
AAPL,02-03-2023,$154.50
AAPL,02-02-2023,$150.82
AAPL,02-01-2023,$145.43
AAPL,01-31-2023,$144.29
AAPL,01-30-2023,$143.00
AAPL,01-27-2023,$145.93
AAPL,01-26-2023,$143.96
AAPL,01-25-2023,$141.86
AAPL,01-24-2023,$142.53
AAPL,01-23-2023,$141.11
AAPL,01-20-2023,$137.87
AAPL,01-19-2023,$135.27
AAPL,01-18-2023,$135.21
AAPL,01-17-2023,$135.94
AAPL,01-13-2023,$134.76
AAPL,01-12-2023,$133.41
AAPL,01-11-2023,$133.49
AAPL,01-10-2023,$130.73
AAPL,01-09-2023,$130.15
AAPL,01-06-2023,$129.62
AAPL,01-05-2023,$125.02
AAPL,01-04-2023,$126.36
AAPL,01-03-2023,$125.07
AAPL,12-30-2022,$129.93
AAPL,12-29-2022,$129.61
AAPL,12-28-2022,$126.04
AAPL,12-27-2022,$130.03
AAPL,12-23-2022,$131.86
AAPL,12-22-2022,$132.23
AAPL,12-21-2022,$135.45
AAPL,12-20-2022,$132.30
AAPL,12-19-2022,$132.37
AAPL,12-16-2022,$134.51
AAPL,12-15-2022,$136.50
AAPL,12-14-2022,$143.21
AAPL,12-13-2022,$145.47
